,adoc,feedrate,ff,fn,fa,
Actual,1.0,0.20110000669956207,110.09546661376953,463.0909729003906,477.34344482421875,
Prediction,1.0,0.20110000669956207,110.8628921508789,462.19268798828125,479.2646484375,
Per Dev,1.0,0.20110000669956207,0.6970546245574951,0.19397589564323425,0.40247827768325806,
,
Actual,1.0,0.23833000659942627,120.77841186523438,523.4619140625,503.480712890625,
Prediction,1.0,0.23833000659942627,120.54629516601562,523.3347778320312,502.42822265625,
Per Dev,1.0,0.23833000659942627,0.19218392670154572,0.024287579581141472,0.20904280245304108,
,
Actual,1.0,0.2462799996137619,122.59854888916016,536.8989868164062,507.38177490234375,
Prediction,1.0,0.2462799996137619,122.44375610351562,535.9616088867188,506.63519287109375,
Per Dev,1.0,0.2462799996137619,0.12625987827777863,0.17459112405776978,0.14714404940605164,
,
Actual,1.0,0.2687000036239624,127.76102447509766,574.9471435546875,518.45361328125,
Prediction,1.0,0.2687000036239624,128.21817016601562,571.2633666992188,520.018798828125,
Per Dev,1.0,0.2687000036239624,0.35781311988830566,0.6407157778739929,0.30189502239227295,
,
Actual,1.0,0.2896000146865845,131.89166259765625,605.9701538085938,527.5315551757812,
Prediction,1.0,0.2896000146865845,133.60365295410156,604.2144165039062,531.2302856445312,
Per Dev,1.0,0.2896000146865845,1.298027753829956,0.2897399067878723,0.7011391520500183,
,
Actual,1.399999976158142,0.2082899957895279,166.19525146484375,637.1129760742188,578.32080078125,
Prediction,1.399999976158142,0.2082899957895279,166.07664489746094,636.6000366210938,576.7553100585938,
Per Dev,1.399999976158142,0.2082899957895279,0.07136579602956772,0.0805099681019783,0.27069592475891113,
,
Actual,1.399999976158142,0.2206999957561493,171.02757263183594,666.3920288085938,586.046630859375,
Prediction,1.399999976158142,0.2206999957561493,171.13345336914062,665.3827514648438,584.9599609375,
Per Dev,1.399999976158142,0.2206999957561493,0.06190858036279678,0.15145398676395416,0.18542379140853882,
,
Actual,1.399999976158142,0.2224999964237213,171.72682189941406,670.65283203125,587.171875,
Prediction,1.399999976158142,0.2224999964237213,171.85507202148438,669.5507202148438,586.033447265625,
Per Dev,1.399999976158142,0.2224999964237213,0.07468263804912567,0.16433417797088623,0.19388322532176971,
,
Actual,1.399999976158142,0.26269999146461487,188.5793914794922,763.914794921875,617.2554321289062,
Prediction,1.399999976158142,0.26269999146461487,187.44342041015625,763.9693603515625,612.6542358398438,
Per Dev,1.399999976158142,0.26269999146461487,0.6023834347724915,0.00714286882430315,0.7454282641410828,
,
Actual,1.399999976158142,0.26344001293182373,188.8396759033203,765.523681640625,617.6825561523438,
Prediction,1.399999976158142,0.26344001293182373,187.7451934814453,765.7589111328125,613.1739501953125,
Per Dev,1.399999976158142,0.26344001293182373,0.5795828700065613,0.030727917328476906,0.7299228310585022,
,
Actual,1.7999999523162842,0.2117999941110611,228.3873748779297,804.3539428710938,657.22216796875,
Prediction,1.7999999523162842,0.2117999941110611,228.56312561035156,805.0304565429688,658.1480712890625,
Per Dev,1.7999999523162842,0.2117999941110611,0.07695291191339493,0.08410646766424179,0.14088132977485657,
,
Actual,1.7999999523162842,0.21870000660419464,232.36358642578125,825.2476806640625,662.1965942382812,
Prediction,1.7999999523162842,0.21870000660419464,232.48928833007812,825.2826538085938,662.6411743164062,
Per Dev,1.7999999523162842,0.21870000660419464,0.05409707501530647,0.004237896762788296,0.06713717430830002,
,
Actual,1.7999999523162842,0.22360000014305115,235.1355743408203,839.853515625,665.677001953125,
Prediction,1.7999999523162842,0.22360000014305115,235.07838439941406,839.1109008789062,665.1072387695312,
Per Dev,1.7999999523162842,0.22360000014305115,0.024322113022208214,0.08842193335294724,0.08559153974056244,
,
Actual,1.7999999523162842,0.26030001044273376,255.87225341796875,950.6442260742188,692.1617431640625,
Prediction,1.7999999523162842,0.26030001044273376,255.7807159423828,949.8519897460938,692.3232421875,
Per Dev,1.7999999523162842,0.26030001044273376,0.035774677991867065,0.08333678543567657,0.02333255484700203,
,
Actual,1.7999999523162842,0.2884100079536438,271.5516662597656,1035.8873291015625,712.6350708007812,
Prediction,1.7999999523162842,0.2884100079536438,271.35882568359375,1036.752197265625,711.956787109375,
Per Dev,1.7999999523162842,0.2884100079536438,0.07101432234048843,0.08349056541919708,0.09517966210842133,
,
Actual,1.0053000450134277,0.20000000298023224,110.48768615722656,463.1694030761719,478.12127685546875,
Prediction,1.0053000450134277,0.20000000298023224,111.08412170410156,462.1075744628906,479.5749816894531,
Per Dev,1.0053000450134277,0.20000000298023224,0.5398208498954773,0.22925275564193726,0.3040452003479004,
,
Actual,1.0149999856948853,0.20000000298023224,111.78173828125,467.2232360839844,480.7495422363281,
Prediction,1.0149999856948853,0.20000000298023224,112.11856079101562,465.57720947265625,481.64666748046875,
Per Dev,1.0149999856948853,0.20000000298023224,0.3013215959072113,0.3522998094558716,0.18660970032215118,
,
Actual,1.090000033378601,0.20000000298023224,121.44629669189453,496.80181884765625,499.5378112792969,
