,adoc,feedrate,ff,fn,fa,,,,,,
Actual,1,0.201100006699562,110.09546661377,463.090972900391,477.343444824219,,,,,,
Prediction,1,0.201100006699562,110.642738342285,461.827697753906,480.053344726563,,,,,,
Per Dev,1,0.201100006699562,0.497088342905045,0.272791981697083,0.567704439163208,,,,,,
,,,,,,,,,,,
Actual,1,0.238330006599426,120.778411865234,523.4619140625,503.480712890625,,,,,,
Prediction,1,0.238330006599426,120.924209594727,523.531433105469,503.865112304688,,,,,,
Per Dev,1,0.238330006599426,0.12071505188942,0.013280631043017,0.076348386704922,,,,,,
,,,,,,,,,,,
Actual,1,0.246279999613762,122.59854888916,536.898986816406,507.381774902344,,,,,,
Prediction,1,0.246279999613762,122.759071350098,536.6689453125,508.406585693359,,,,,,
Per Dev,1,0.246279999613762,0.130933403968811,0.042846325784922,0.201980203390121,,,,,,
,,,,,,,,,,,
Actual,1,0.268700003623962,127.761024475098,574.947143554688,518.45361328125,,,,,,
Prediction,1,0.268700003623962,127.660491943359,573.834899902344,520.201477050781,,,,,,
Per Dev,1,0.268700003623962,0.078687950968742,0.193451464176178,0.337130188941956,,,,,,
,,,,,,,,,,,
Actual,1,0.289600014686584,131.891662597656,605.970153808594,527.531555175781,,,,,,
Prediction,1,0.289600014686584,132.447357177734,609.342834472656,530.8486328125,,,,,,
Per Dev,1,0.289600014686584,0.421326547861099,0.556575357913971,0.628792285919189,,,,,,
,,,,,,,,,,,
Actual,1.39999997615814,0.208289995789528,166.195251464844,637.112976074219,578.32080078125,,,,,,
Prediction,1.39999997615814,0.208289995789528,166.406204223633,636.537536621094,576.420043945313,,,,,,
Per Dev,1.39999997615814,0.208289995789528,0.126930668950081,0.090319842100144,0.328668266534805,,,,,,
,,,,,,,,,,,
Actual,1.39999997615814,0.220699995756149,171.027572631836,666.392028808594,586.046630859375,,,,,,
Prediction,1.39999997615814,0.220699995756149,171.174896240234,665.679382324219,584.393859863281,,,,,,
Per Dev,1.39999997615814,0.220699995756149,0.086140267550945,0.106941021978855,0.282020390033722,,,,,,
,,,,,,,,,,,
Actual,1.39999997615814,0.222499996423721,171.726821899414,670.65283203125,587.171875,,,,,,
Prediction,1.39999997615814,0.222499996423721,171.879547119141,669.88134765625,585.47705078125,,,,,,
Per Dev,1.39999997615814,0.222499996423721,0.088934987783432,0.115034833550453,0.288641929626465,,,,,,
,,,,,,,,,,,
Actual,1.39999997615814,0.262699991464615,188.579391479492,763.914794921875,617.255432128906,,,,,,
Prediction,1.39999997615814,0.262699991464615,188.029220581055,765.643981933594,611.392639160156,,,,,,
Per Dev,1.39999997615814,0.262699991464615,0.291744977235794,0.226358622312546,0.949816286563873,,,,,,
,,,,,,,,,,,
Actual,1.39999997615814,0.263440012931824,188.83967590332,765.523681640625,617.682556152344,,,,,,
Prediction,1.39999997615814,0.263440012931824,188.349670410156,767.527465820313,612.00830078125,,,,,,
Per Dev,1.39999997615814,0.263440012931824,0.259482264518738,0.261753380298614,0.918636202812195,,,,,,
,,,,,,,,,,,
Actual,1.79999995231628,0.211799994111061,228.38737487793,804.353942871094,657.22216796875,,,,,,
Prediction,1.79999995231628,0.211799994111061,228.315124511719,804.323852539063,657.78857421875,,,,,,
Per Dev,1.79999995231628,0.211799994111061,0.031635008752346,0.003740931861103,0.086181856691837,,,,,,
,,,,,,,,,,,
Actual,1.79999995231628,0.218700006604195,232.363586425781,825.247680664062,662.196594238281,,,,,,
Prediction,1.79999995231628,0.218700006604195,232.217147827148,825.10986328125,662.51708984375,,,,,,
Per Dev,1.79999995231628,0.218700006604195,0.063021317124367,0.016700124368072,0.048398859798908,,,,,,
,,,,,,,,,,,
Actual,1.79999995231628,0.223600000143051,235.13557434082,839.853515625,665.677001953125,,,,,,
Prediction,1.79999995231628,0.223600000143051,235.030334472656,839.534729003906,665.869262695313,,,,,,
Per Dev,1.79999995231628,0.223600000143051,0.044757101684809,0.037957407534123,0.02888198569417,,,,,,
,,,,,,,,,,,
Actual,1.79999995231628,0.260300010442734,255.872253417969,950.644226074219,692.161743164063,,,,,,
Prediction,1.79999995231628,0.260300010442734,255.885360717773,950.957214355469,692.481384277344,,,,,,
Per Dev,1.79999995231628,0.260300010442734,0.005122595466673,0.032923806458712,0.046180117875338,,,,,,
,,,,,,,,,,,
Actual,1.79999995231628,0.288410007953644,271.551666259766,1035.88732910156,712.635070800781,,,,,,
Prediction,1.79999995231628,0.288410007953644,271.534301757812,1036.39379882813,713.286071777344,,,,,,
Per Dev,1.79999995231628,0.288410007953644,0.006394548341632,0.048892356455326,0.091351240873337,,,,,,
,,,,,,,,,,,
Actual,1.00530004501343,0.200000002980232,110.487686157227,463.169403076172,478.121276855469,,,,,,
Prediction,1.00530004501343,0.200000002980232,110.837898254395,462.040588378906,480.248413085937,,,,,,
Per Dev,1.00530004501343,0.200000002980232,0.316969364881515,0.243715286254883,0.444894701242447,,,,,,
,,,,,,,,,,,
Actual,1.01499998569489,0.200000002980232,111.78173828125,467.223236083984,480.749542236328,,,,,,
Prediction,1.01499998569489,0.200000002980232,111.9140625,465.983123779297,482.286468505859,,,,,,
Per Dev,1.01499998569489,0.200000002980232,0.118377313017845,0.265421777963638,0.319693744182587,,,,,,
,,,,,,,,,,,
Actual,1.0900000333786,0.200000002980232,121.446296691895,496.801818847656,499.537811279297,,,,,,
Prediction,1.0900000333786,0.200000002980232,121.126014709473,495.640014648438,499.254272460938,,,,,,
Per Dev,1.0900000333786,0.200000002980232,0.263723134994507,0.233856678009033,0.056760232895613,,,,,,
,,,,,,,,,,,
Actual,1.61769998073578,0.200000002980232,194.378631591797,700.375671386719,616.185791015625,,,,,,
Prediction,1.61769998073578,0.200000002980232,194.373687744141,700.445678710938,616.1416015625,,,,,,
Per Dev,1.61769998073578,0.200000002980232,0.002543410984799,0.009995682165027,0.007171449251473,,,,,,
,,,,,,,,,,,
Actual,1.85130000114441,0.200000002980232,229.487274169922,788.084533691406,657.455749511719,,,,,,
Prediction,1.85130000114441,0.200000002980232,229.486145019531,788.088195800781,656.662475585938,,,,,,
Per Dev,1.85130000114441,0.200000002980232,0.000492031802423,0.000464684853796,0.12065814435482,,,,,,
,,,,,,,,,,,
Actual,1.15299999713898,0.239999994635582,140.996978759766,598.593627929688,536.150207519531,,,,,,
Prediction,1.15299999713898,0.239999994635582,141.276290893555,596.720153808594,537.67138671875,,,,,,
Per Dev,1.15299999713898,0.239999994635582,0.198097944259644,0.312979280948639,0.283722579479218,,,,,,
,,,,,,,,,,,
Actual,1.23699998855591,0.239999994635582,153.601455688477,636.605041503906,556.540710449219,,,,,,
Prediction,1.23699998855591,0.239999994635582,153.289047241211,635.646850585938,556.465515136719,,,,,,
Per Dev,1.23699998855591,0.239999994635582,0.203389003872871,0.150515750050545,0.013511197641492,,,,,,
,,,,,,,,,,,
Actual,1.47300004959106,0.239999994635582,190.029525756836,744.326904296875,613.764465332031,,,,,,
Prediction,1.47300004959106,0.239999994635582,190.146026611328,744.757019042969,612.786193847656,,,,,,
Per Dev,1.47300004959106,0.239999994635582,0.061306711286306,0.057785730808973,0.15938875079155,,,,,,
,,,,,,,,,,,
Actual,1.55900001525879,0.239999994635582,203.997940063477,782.779663085938,631.630493164063,,,,,,
Prediction,1.55900001525879,0.239999994635582,203.873580932617,782.580871582031,631.488464355469,,,,,,
Per Dev,1.55900001525879,0.239999994635582,0.060960978269577,0.025395588949323,0.022486058995128,,,,,,
,,,,,,,,,,,
Actual,1.71281003952026,0.239999994635582,229.566345214844,850.780212402344,661.504028320313,,,,,,
Prediction,1.71281003952026,0.239999994635582,229.478134155273,851.010498046875,662.606323242188,,,,,,
