RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m)
300,1,0.2,110.5321321,458.0882894,466.2393668,1.81032315,1.804023129,,,800,1,0.2,110.5221719,458.0914162,466.2329329,1.810277784,1.804012673,,,1300,1,0.2,110.5321321,458.0882894,466.2393668,1.81032315,1.804023129,,,1800,1,0.2,110.5221719,458.0914162,466.2329329,1.810277784,1.803970536,,,2300,1,0.2,110.5321321,458.0882894,466.2393668,1.81032315,1.804023129,,,,2800,1,0.2,110.5321321,458.0882894,466.2393668,1.81032315,1.804023129
300,1,0.21,115.0473621,472.7181199,478.8431371,1.888266015,1.886302807,,,800,1,0.21,114.169099,473.5877185,475.7324592,1.88276582,1.885255989,,,1300,1,0.21,115.0473621,472.7181199,478.8431371,1.888266015,1.886302807,,,1800,1,0.21,114.169099,473.5877185,475.7324592,1.88276582,1.880442356,,,2300,1,0.21,115.0473621,472.7181199,478.8431371,1.888266015,1.886302807,,,,2800,1,0.21,115.0473621,472.7181199,478.8431371,1.888266015,1.886302807
300,1,0.22,117.3852634,489.5636763,483.6729602,1.953138317,1.950589524,,,800,1,0.22,116.9273193,490.0033795,482.117869,1.950334603,1.950440243,,,1300,1,0.22,117.3852634,489.5636763,483.6729602,1.953138317,1.950589524,,,1800,1,0.22,116.9273193,490.0033795,482.117869,1.950334603,1.948510083,,,2300,1,0.22,117.3852634,489.5636763,483.6729602,1.953138317,1.950589524,,,,2800,1,0.22,117.3852634,489.5636763,483.6729602,1.953138317,1.950589524
300,1,0.23,119.7648861,506.4262704,488.5026839,2.017952841,2.014712888,,,800,1,0.23,119.2946798,506.8683732,486.9497992,2.015129751,2.014560764,,,1300,1,0.23,119.7648861,506.4262704,488.5026839,2.017952841,2.014712888,,,1800,1,0.23,119.2946798,506.8683732,486.9497992,2.015129751,2.01261442,,,2300,1,0.23,119.7648861,506.4262704,488.5026839,2.017952841,2.014712888,,,,2800,1,0.23,119.7648861,506.4262704,488.5026839,2.017952841,2.014712888
300,1,0.24,122.1378221,523.3267003,493.3517233,2.08299243,2.079056949,,,800,1,0.24,121.6551395,523.771344,491.8007992,2.080146999,2.078901911,,,1300,1,0.24,122.1378221,523.3267003,493.3517233,2.08299243,2.079056949,,,1800,1,0.24,121.6551395,523.771344,491.8007992,2.080146999,2.076937124,,,2300,1,0.24,122.1378221,523.3267003,493.3517233,2.08299243,2.079056949,,,,2800,1,0.24,122.1378221,523.3267003,493.3517233,2.08299243,2.079056949
300,1,0.25,124.4287895,540.2812425,498.2374529,2.148506156,2.143991129,,,800,1,0.25,123.9376036,540.7287337,496.6879385,2.145632011,2.143832616,,,1300,1,0.25,124.4287895,540.2812425,498.2374529,2.148506156,2.143991129,,,1800,1,0.25,123.9376036,540.7287337,496.6879385,2.145632011,2.141845185,,,2300,1,0.25,124.4287895,540.2812425,498.2374529,2.148506156,2.143991129,,,,2800,1,0.25,124.4287895,540.2812425,498.2374529,2.148506156,2.143991129
300,1,0.26,126.783463,557.2364583,503.1176103,2.213860191,2.208685411,,,800,1,0.26,126.2797592,557.6868141,501.5695084,2.210957337,2.208523416,,,1300,1,0.26,126.783463,557.2364583,503.1176103,2.213860191,2.208685411,,,1800,1,0.26,126.2797592,557.6868141,501.5695084,2.210957337,2.206513041,,,2300,1,0.26,126.783463,557.2364583,503.1176103,2.213860191,2.208685411,,,,2800,1,0.26,126.783463,557.2364583,503.1176103,2.213860191,2.208685411
300,1,0.27,129.1394708,574.2295445,508.0181166,2.279442096,2.27361037,,,800,1,0.27,129.0776268,574.247142,507.9953337,2.279188261,2.273574085,,,1300,1,0.27,129.1394708,574.2295445,508.0181166,2.279442096,2.27361037,,,1800,1,0.27,129.0776268,574.247142,507.9953337,2.279188261,2.273368072,,,2300,1,0.27,129.1394708,574.2295445,508.0181166,2.279442096,2.27361037,,,,2800,1,0.27,129.1394708,574.2295445,508.0181166,2.279442096,2.27361037
300,1,0.28,131.4967366,591.2610577,512.939314,2.345255345,2.338769462,,,800,1,0.28,131.4308914,591.2796693,512.9152613,2.344987906,2.338730252,,,1300,1,0.28,131.4967366,591.2610577,512.939314,2.345255345,2.338769462,,,1800,1,0.28,131.4308914,591.2796693,512.9152613,2.344987906,2.338511833,,,2300,1,0.28,131.4967366,591.2610577,512.939314,2.345255345,2.338769462,,,,2800,1,0.28,131.4967366,591.2610577,512.939314,2.345255345,2.338769462
300,1,0.29,133.7876777,608.3550816,517.9034399,2.411632811,2.404617382,,,800,1,0.29,133.7181836,608.3747417,517.8780767,2.411351037,2.404574985,,,1300,1,0.29,133.7876777,608.3550816,517.9034399,2.411632811,2.404617382,,,1800,1,0.29,133.7181836,608.3747417,517.8780767,2.411351037,2.404343574,,,2300,1,0.29,133.7876777,608.3550816,517.9034399,2.411632811,2.404617382,,,,2800,1,0.29,133.7876777,608.3550816,517.9034399,2.411632811,2.404617382
