,adoc,feedrate,ff,fn,fa,
Actual,1.0,0.20110000669956207,110.09546661376953,463.0909729003906,477.34344482421875,
Prediction,1.0,0.20110000669956207,110.7605209350586,461.7967224121094,480.0495300292969,
Per Dev,1.0,0.20110000669956207,0.6040706038475037,0.27948081493377686,0.5669052600860596,
,
Actual,1.0,0.23833000659942627,120.77841186523438,523.4619140625,503.480712890625,
Prediction,1.0,0.23833000659942627,120.73550415039062,523.0733032226562,504.18914794921875,
Per Dev,1.0,0.23833000659942627,0.035525981336832047,0.0742386132478714,0.14070749282836914,
,
Actual,1.0,0.2462799996137619,122.59854888916016,536.8989868164062,507.38177490234375,
Prediction,1.0,0.2462799996137619,122.61831665039062,536.3021850585938,508.3398742675781,
Per Dev,1.0,0.2462799996137619,0.016123976558446884,0.11115717887878418,0.18883204460144043,
,
Actual,1.0,0.2687000036239624,127.76102447509766,574.9471435546875,518.45361328125,
Prediction,1.0,0.2687000036239624,127.82270812988281,574.0437622070312,518.9215087890625,
Per Dev,1.0,0.2687000036239624,0.0482804961502552,0.15712425112724304,0.09024828672409058,
,
Actual,1.0,0.2896000146865845,131.89166259765625,605.9701538085938,527.5315551757812,
Prediction,1.0,0.2896000146865845,132.73841857910156,609.2238159179688,528.370849609375,
Per Dev,1.0,0.2896000146865845,0.6420087218284607,0.5369343757629395,0.15909843146800995,
,
Actual,1.399999976158142,0.2082899957895279,166.19525146484375,637.1129760742188,578.32080078125,
Prediction,1.399999976158142,0.2082899957895279,166.4259033203125,636.3363037109375,577.4003295898438,
Per Dev,1.399999976158142,0.2082899957895279,0.13878366351127625,0.12190496921539307,0.1591627299785614,
,
Actual,1.399999976158142,0.2206999957561493,171.02757263183594,666.3920288085938,586.046630859375,
Prediction,1.399999976158142,0.2206999957561493,171.21762084960938,665.9409790039062,585.0700073242188,
Per Dev,1.399999976158142,0.2206999957561493,0.11112139374017715,0.06768535077571869,0.1666460484266281,
,
Actual,1.399999976158142,0.2224999964237213,171.72682189941406,670.65283203125,587.171875,
Prediction,1.399999976158142,0.2224999964237213,171.91893005371094,670.3607788085938,586.1317138671875,
Per Dev,1.399999976158142,0.2224999964237213,0.1118684634566307,0.043547600507736206,0.17714764177799225,
,
Actual,1.399999976158142,0.26269999146461487,188.5793914794922,763.914794921875,617.2554321289062,
